ID,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
1,24,male,Master,58914,2,OWN,4400,VENTURE,5.99,0.07,4,656,Yes,0
2,23,female,High School,45873,2,RENT,11000,VENTURE,11.01,0.24,2,634,Yes,0
3,29,female,Master,240947,7,MORTGAGE,10000,VENTURE,12.69,0.04,9,638,Yes,0
4,30,female,Bachelor,96316,10,MORTGAGE,6000,MEDICAL,13.49,0.06,8,682,No,0
5,29,male,Bachelor,73033,7,MORTGAGE,8000,PERSONAL,10.51,0.11,8,644,Yes,0
6,32,female,Bachelor,90582,10,RENT,10000,HOMEIMPROVEMENT,7.29,0.11,7,561,Yes,0
7,27,female,Bachelor,47750,3,RENT,9000,MEDICAL,10.08,0.19,8,679,Yes,0
8,34,male,Associate,40466,8,RENT,4500,DEBTCONSOLIDATION,11.01,0.11,9,603,Yes,0
9,26,male,Associate,127119,2,MORTGAGE,4917,HOMEIMPROVEMENT,11.31,0.04,4,609,Yes,0
10,40,male,Bachelor,40201,17,RENT,13775,VENTURE,12.98,0.34,14,560,No,1
11,23,male,Master,32336,1,RENT,12000,MEDICAL,8.27,0.37,5,706,No,1
12,22,female,Bachelor,84856,0,RENT,7550,VENTURE,7.51,0.09,2,706,Yes,0
13,26,male,Bachelor,108809,2,RENT,16000,EDUCATION,8.09,0.15,8,601,No,0
14,25,male,Bachelor,119053,4,RENT,16525,PERSONAL,15.28,0.14,3,655,No,0
15,26,female,Bachelor,55187,1,MORTGAGE,5952,MEDICAL,7.59,0.11,3,619,Yes,0
16,26,male,Bachelor,101733,5,RENT,15000,DEBTCONSOLIDATION,16,0.15,3,644,No,1
17,30,female,Bachelor,56193,3,MORTGAGE,6012,PERSONAL,13.36,0.11,8,680,No,0
18,25,male,Associate,97003,3,RENT,20000,VENTURE,15.15,0.21,4,642,No,0
19,23,male,Associate,97009,0,MORTGAGE,15000,EDUCATION,9.88,0.15,4,668,Yes,0
20,36,male,Doctorate,56934,12,MORTGAGE,2800,MEDICAL,7.51,0.05,12,636,No,1
21,43,male,Associate,72803,20,RENT,10000,EDUCATION,13.24,0.14,15,672,No,1
22,23,female,High School,47788,2,RENT,6000,EDUCATION,15.99,0.13,3,647,No,1
23,32,male,Bachelor,51421,9,RENT,2400,PERSONAL,9.62,0.05,7,654,No,0
24,30,female,Associate,38057,8,RENT,5000,VENTURE,9.91,0.13,10,601,No,0
25,28,male,Master,94786,6,MORTGAGE,13000,MEDICAL,11.01,0.14,9,592,Yes,0
26,30,male,Bachelor,87628,6,MORTGAGE,12000,MEDICAL,10.82,0.14,6,608,Yes,0
27,24,female,Bachelor,108981,0,RENT,10000,PERSONAL,11.01,0.09,4,672,No,0
28,24,female,High School,83712,0,RENT,6000,DEBTCONSOLIDATION,15.85,0.07,4,544,No,1
29,25,female,Bachelor,72733,5,MORTGAGE,12000,VENTURE,10.99,0.16,2,703,No,0
30,35,female,High School,63438,11,MORTGAGE,7000,DEBTCONSOLIDATION,6.03,0.11,5,559,Yes,0
31,23,male,High School,57728,0,OWN,7000,MEDICAL,7.51,0.12,3,635,Yes,0
32,31,female,Associate,54601,9,MORTGAGE,7500,DEBTCONSOLIDATION,8,0.14,9,631,No,0
33,33,female,Bachelor,58788,12,MORTGAGE,7000,PERSONAL,12.42,0.12,5,501,No,1
34,32,female,Master,62135,10,MORTGAGE,15000,MEDICAL,11.01,0.24,8,670,No,1
35,25,female,Associate,66911,1,MORTGAGE,2000,DEBTCONSOLIDATION,13.22,0.03,2,573,No,0
36,32,male,Bachelor,480914,7,MORTGAGE,18019,EDUCATION,7.57,0.04,7,676,No,0
37,26,male,High School,77487,7,RENT,9600,EDUCATION,11.97,0.12,4,648,No,1
38,29,male,Master,131653,7,MORTGAGE,18500,MEDICAL,17.8,0.14,10,653,No,1
39,33,male,Master,90903,9,RENT,14400,DEBTCONSOLIDATION,9.74,0.16,11,596,Yes,0
40,29,female,Bachelor,93260,6,RENT,12000,EDUCATION,11.01,0.13,9,677,Yes,0
41,33,male,High School,97125,9,MORTGAGE,8000,VENTURE,20,0.08,6,668,No,0
