Advertising Spend (in $1000),Sales Revenue (in $1000)
43.71,223.67
95.56,505.96
75.88,393.65
63.88,310.74
24.04,106.73
24.04,127.58
15.23,56.33
87.96,467.25
64.1,338.19
73.73,361.6
11.85,33.57
97.29,506.77
84.92,422.88
29.11,164.12
26.36,107.9
26.51,123.54
37.38,186.99
57.23,286.85
48.88,237.62
36.21,190.4
65.07,309.32
22.55,110.64
36.29,183.27
42.97,222.58
51.05,265.91
80.67,386.46
27.97,116.84
56.28,300.57
63.32,321.57
14.18,59.68
64.68,346.66
25.35,128.47
15.85,96.96
95.4,478.01
96.91,515.45
82.76,440.11
37.42,183.34
18.79,108.53
71.58,367.59
49.61,268.6
20.98,90.44
54.57,283.12
13.09,81.35
91.84,432.81
33.29,148.7
69.63,317.55
38.05,186.23
56.81,294.79
59.2,318.55
26.64,134.3
97.26,510.74
79.76,378.11
94.55,447.22
90.53,451.84
63.81,324.82
92.97,464.35
17.96,58.81
27.64,136.86
14.07,50.79
39.28,206.44
44.98,230.4
34.42,158.01
84.59,415.22
42.11,194.65
35.28,175.48
58.84,308.54
22.68,98.63
82.2,418.55
16.71,75.59
98.82,482.21
79.5,395.9
27.88,123.89
10.5,44.18
83.39,398.99
73.62,397.56
75.61,378.58
79.41,386.58
16.66,86.53
42.26,209.62
20.43,98.83
87.68,447.61
66.1,341.85
39.78,190.95
15.72,69.96
37.99,185.82
39.27,161.8
75.66,355.59
67.38,357.4
89.85,473.92
52.5,258.76
20.76,112.47
74.19,375.63
78.47,438.54
60.51,319.37
79.39,395.02
54.44,257.87
57.05,261.13
48.48,245.45
12.29,50.09
19.71,77.22
12.83,54.44
67.28,320.16
38.29,216.77
55.77,292.08
91.68,458.29
32.44,184.38
46.93,235.83
78.0,377.08
30.59,175.81
16.93,92.72
36.08,164.83
24.51,119.69
93.67,455.23
82.73,392.91
67.01,348.92
88.43,470.8
82.33,390.67
26.79,142.4
90.33,441.89
58.54,285.4
82.67,404.46
90.65,440.28
38.62,193.83
19.9,87.06
30.51,156.63
48.44,241.44
83.62,414.52
87.47,423.72
10.63,44.48
55.97,291.17
47.57,245.35
29.99,135.29
20.79,105.43
40.39,213.2
94.86,449.27
39.09,203.59
56.69,273.52
73.27,374.92
42.73,202.18
97.46,460.23
96.62,458.69
32.66,164.02
54.75,277.66
37.08,171.83
35.64,187.76
13.32,41.68
64.86,323.31
55.24,258.04
14.63,63.39
35.08,176.1
91.74,445.81
31.56,152.03
23.04,130.3
54.05,261.6
98.71,506.08
31.78,141.98
70.49,360.41
78.55,414.35
31.39,119.86
75.54,365.74
43.1,224.16
66.91,331.49
67.02,340.66
58.22,282.04
18.13,91.93
85.18,423.55
38.87,211.87
26.79,137.75
13.67,73.41
63.18,309.72
70.98,347.59
11.49,50.98
56.09,286.36
30.38,145.61
68.07,344.67
25.69,159.6
72.18,373.99
44.81,219.14
94.31,489.55
22.38,105.76
40.7,172.91
20.21,85.94
93.22,438.05
88.96,439.53
33.21,166.35
69.4,372.14
83.55,422.65
59.97,296.55
57.67,300.78
31.77,125.67
18.38,95.43
90.75,465.31
91.04,433.01
66.98,352.05
40.51,207.64
41.43,200.91
75.34,386.17
90.74,487.76
89.84,451.92
80.19,404.67
67.78,332.02
17.57,75.12
24.55,135.19
90.87,441.51
64.58,323.97
10.83,46.97
19.13,102.85
69.72,353.58
10.46,67.84
24.47,114.71
59.39,292.88
72.27,346.67
68.68,336.72
30.18,156.58
74.1,381.84
31.35,142.93
39.29,209.47
77.18,406.26
68.47,348.54
86.43,460.3
69.19,334.32
61.15,287.07
18.43,65.47
43.09,237.91
33.87,179.16
31.96,158.96
97.57,492.05
45.38,210.01
90.28,488.11
66.8,335.95
81.53,409.31
55.24,287.07
61.92,316.82
54.33,274.99
27.57,126.0
75.02,382.18
35.27,204.58
12.19,81.12
68.09,364.36
25.94,122.03
94.64,458.36
95.85,477.38
92.34,462.52
43.31,232.98
11.39,31.57
93.55,490.69
48.54,240.31
97.0,478.59
96.73,468.45
86.77,409.03
36.5,194.85
44.66,224.39
86.6,413.66
38.52,173.19
25.25,121.23
60.11,325.6
94.25,467.38
72.64,340.67
61.31,302.84
18.75,89.64
65.35,286.3
99.1,494.71
22.61,109.57
56.65,293.69
88.96,472.55
76.67,400.24
72.73,359.62
73.22,349.52
42.35,250.37
36.42,183.0
82.84,414.42
82.91,414.19
88.04,443.15
92.19,458.79
56.02,271.5
55.14,267.48
81.85,408.74
68.5,334.33
73.18,355.19
81.62,409.7
90.1,446.68
40.42,224.66
43.8,179.25
18.46,108.66
62.05,328.92
13.23,35.07
51.9,254.38
58.84,288.62
35.79,157.83
63.17,304.21
12.75,47.07
13.36,93.09
84.03,434.21
42.42,231.16
21.44,118.0
57.0,268.07
79.3,388.63
29.42,154.46
66.06,311.97
17.68,99.1
14.65,69.65
57.82,283.49
58.66,303.95
67.37,343.51
75.35,371.33
97.83,506.52
56.47,266.12
39.07,204.57
81.57,416.73
34.37,167.23
49.51,252.43
17.06,66.54
12.28,75.27
96.64,480.42
85.24,418.35
72.64,378.92
46.81,223.46
25.6,106.86
24.08,97.05
32.52,171.7
59.43,277.95
74.31,397.89
69.42,315.86
35.19,201.42
95.94,482.85
76.41,380.6
59.89,291.29
65.05,331.26
47.76,238.26
32.3,178.03
42.04,211.9
78.21,393.29
11.3,51.02
20.45,101.38
14.14,75.32
13.67,42.68
86.99,414.73
73.33,377.79
52.68,265.94
18.81,91.27
54.25,271.5
52.61,268.28
25.59,119.84
49.05,233.56
45.87,232.26
65.43,312.46
67.16,341.92
14.08,44.85
43.72,234.01
66.33,338.73
55.28,280.25
87.08,450.16
69.28,371.39
24.66,138.54
16.35,54.14
67.82,319.9
12.39,52.56
62.72,313.99
94.62,480.87
61.79,298.08
44.94,227.48
67.9,328.15
51.24,247.04
59.11,274.43
94.73,459.81
44.75,203.47
96.51,467.9
91.48,473.21
27.62,123.87
16.24,120.7
19.07,102.75
11.64,60.97
18.5,79.62
71.47,367.86
16.41,73.4
38.71,195.37
86.04,468.6
12.09,59.03
83.3,433.75
35.37,166.29
20.63,102.65
72.71,390.09
66.6,323.62
88.97,472.05
76.16,391.4
82.31,403.13
35.38,186.4
25.97,144.44
77.56,397.1
82.62,389.52
99.15,484.82
47.14,231.97
43.48,216.29
79.88,408.7
40.67,206.03
93.77,448.81
87.26,441.99
48.61,252.21
77.58,396.29
77.91,405.76
19.28,108.91
91.23,463.04
55.47,276.31
84.38,396.99
38.8,200.47
90.6,456.1
45.03,229.21
10.98,35.73
91.48,441.21
18.22,106.88
38.74,193.1
95.51,487.75
95.55,478.2
61.61,308.49
66.87,348.4
50.36,244.06
36.39,183.39
39.58,190.96
70.53,346.12
77.71,383.93
81.24,409.54
81.07,398.15
18.21,109.88
54.5,259.07
15.18,73.1
59.46,290.69
49.74,270.39
89.89,452.42
41.58,223.39
20.54,80.4
22.87,118.35
78.54,406.02
65.64,329.43
19.1,111.49
17.57,80.09
73.09,386.58
16.55,117.23
83.97,414.39
73.56,361.13
17.32,108.41
17.64,111.87
98.8,486.14
43.68,212.12
43.36,212.56
83.15,395.59
95.25,462.48
98.74,478.64
77.8,377.5
43.86,218.8
17.52,91.09
79.94,422.97
60.26,286.31
48.18,255.66
91.57,454.65
20.01,99.3
54.34,281.8
11.02,38.27
52.18,266.63
15.07,77.83
20.69,110.85
20.58,107.22
68.43,378.97
77.14,376.15
62.5,304.55
96.6,473.63
43.74,210.36
35.71,169.01
88.17,458.7
30.12,171.93
96.69,474.89
11.09,42.98
97.29,493.52
13.88,61.14
90.2,460.51
57.49,290.51
99.37,474.1
16.64,106.42
59.85,326.17
97.24,476.99
57.08,279.58
66.65,337.52
72.62,368.1
50.91,264.42
66.48,362.55
62.59,310.29
91.1,443.55
14.09,49.76
35.29,165.47
95.54,477.19
90.12,477.54
51.01,247.28
65.81,332.42
34.96,174.58
26.93,152.48
51.73,296.57
41.8,201.05
62.53,305.3
17.0,100.64
97.7,498.71
98.76,521.5
