age,annual_income,credit_score,loan_amount,employment_years,num_credit_lines,debt_to_income_ratio,missed_payments_last_2yrs,savings_balance,loan_purpose,defaulted
61,34531,720,6187,6.0,8,0.532,2,2589,personal,Yes
39,55561,587,23644,5.8,2,0.474,3,878,personal,Yes
48,48020,593,10165,5.2,3,0.601,No,2939,education,Yes
53,42576,720,23311,6.8,14,0.329,2,6916,education,Yes
33,120979,616,6338,0.7,11,0.302,No,790,education,No
37,23882,605,17331,6.9,2,0.588,Yes,2193,personal,Yes
58,61292,680,3434,7.1,10,0.61,4,3619,home,Yes
34,47133,505,7903,5.2,3,0.565,2,519,education,Yes
26,30591,669,7344,4.9,9,0.496,No,7449,home,Yes
56,79528,641,10400,7.6,9,0.362,No,18789,home,No
62,40823,539,10603,2.2,9,0.587,No,4272,education,Yes
45,75684,707,17153,11.8,14,0.304,Yes,23584,personal,No
39,53352,403,8839,No,3,0.73,Yes,1099,home,Yes
42,30329,603,17695,2.2,8,0.748,Yes,3220,education,Yes
45,23216,709,16229,No,9,0.674,No,7080,auto,Yes
23,29722,615,7467,4.6,10,0.521,4,No,auto,Yes
48,49967,709,15136,13.5,5,0.298,No,6932,auto,No
55,12058,600,2224,6.3,Yes,0.403,2,8208,personal,Yes
44,22299,468,26748,2.1,9,0.594,2,No,education,Yes
38,56862,690,11153,10.4,Yes,0.387,No,3806,personal,No
23,36017,576,21093,6.1,2,0.741,2,1535,personal,Yes
49,90609,721,15498,0.7,11,0.139,No,21868,home,No
54,86465,737,7113,3.6,10,0.2,Yes,21563,education,No
43,35426,646,20473,2.7,13,0.541,Yes,No,home,Yes
54,43591,743,7034,5.1,12,0.301,No,10005,home,No
30,77927,748,6046,10.4,5,0.327,No,11164,home,No
63,84263,668,16626,15.0,14,0.188,No,21506,home,No
47,29025,720,10798,3.8,12,0.586,2,No,home,Yes
48,52412,716,1000,4.5,12,0.53,4,2100,education,Yes
36,26206,572,16734,4.5,11,0.465,3,26,education,Yes
37,66906,591,15065,6.6,13,0.309,No,18319,personal,No
32,74098,608,7509,6.4,4,0.15,No,7651,education,No
62,40960,668,9016,4.8,4,0.607,Yes,5756,education,Yes
40,53300,596,6544,6.6,14,0.337,No,16723,home,No
56,77244,702,5259,6.0,6,0.262,No,17025,auto,No
55,76200,704,11006,8.7,2,0.372,No,14657,home,No
36,50419,601,12919,3.9,11,0.71,3,5077,personal,Yes
56,28461,631,3305,3.9,8,0.688,Yes,5631,personal,Yes
52,31999,509,13815,2.4,12,0.511,No,5334,home,Yes
64,53232,773,7091,17.4,2,0.238,Yes,9274,auto,No
26,78395,747,1000,10.0,6,0.238,No,6529,home,No
25,79407,722,10453,4.8,10,0.253,No,14889,education,No
40,91714,762,9843,9.7,Yes,0.425,No,16159,auto,No
58,19298,620,8412,6.1,3,0.567,Yes,4218,auto,Yes
55,40463,747,6622,1.6,6,0.283,No,13924,auto,No
52,63633,655,13454,5.5,12,0.255,Yes,19656,personal,No
55,30805,674,10388,5.2,8,0.502,2,5446,auto,Yes
43,37862,596,11897,No,13,0.782,2,6311,personal,Yes
39,58573,696,18003,8.1,12,0.224,Yes,12808,home,No
60,49814,438,11137,1.4,9,0.451,Yes,6527,home,Yes
29,36938,682,6536,1.2,5,0.571,Yes,2834,education,Yes
32,24068,644,11868,No,2,0.459,Yes,13385,education,Yes
63,53905,696,1000,5.8,13,0.292,No,21836,auto,No
44,20576,487,16795,No,9,0.556,2,No,auto,Yes
34,53825,593,9764,8.1,11,0.337,No,17725,auto,No
64,102333,655,20351,2.8,11,0.344,No,2751,home,No
54,56554,689,17151,2.8,Yes,0.445,Yes,1667,personal,Yes
47,63069,665,4442,11.0,6,0.307,No,28388,education,No
22,55762,560,5200,19.8,10,0.109,Yes,20347,education,No
28,36121,645,23893,3.2,12,0.672,2,1712,home,Yes
53,36234,767,5014,9.3,Yes,0.276,No,6867,personal,No
54,85269,777,12403,12.0,8,0.314,Yes,8730,auto,No
35,31441,545,11194,No,Yes,0.619,2,1706,education,Yes
54,85258,850,21274,3.8,8,0.45,No,5483,home,No
22,47393,615,11230,6.2,6,0.528,Yes,No,auto,Yes
23,34905,586,22170,4.3,10,0.467,4,3970,home,Yes
52,35260,548,10840,No,14,0.627,Yes,1300,home,Yes
41,41822,572,8775,7.4,10,0.589,3,3308,auto,Yes
44,75001,727,13701,4.7,12,0.282,No,21953,education,No
45,27377,573,11020,4.5,8,0.397,No,695,home,Yes
22,62399,713,10076,4.8,6,0.156,No,22745,personal,No
61,48364,635,1000,8.7,11,0.212,No,26107,home,No
